Gem Name,Download Count
"recursive-open-struct",2508575
"clockwork",2482449
"dm-do-adapter",2479553
"rack-rewrite",2478274
"html-pipeline",2469110
"default_value_for",2466893
"truncate_html",2466343
"country_select",2460222
"reek",2452226
"chronic_duration",2446229
"asciidoctor",2445643
"guard-bundler",2440686
"memcache-client",2438070
"rsync",2428760
"sidekiq-cron",2420385
"phony",2418972
"cocoapods-deintegrate",2416533
"numerizer",2415974
"io-like",2406020
"terminal-notifier",2403494
"rgen",2401687
"money-rails",2391176
"ruby_core_source",2381508
"zendesk_api",2375711
"turbo-sprockets-rails3",2372102
"flog",2369446
"json_spec",2360600
"influxdb",2360184
"varia_model",2357406
"bindata",2332280
"react-rails",2320483
"icalendar",2315716
"buff-extensions",2306488
"rspec-instafail",2301542
"ace-rails-ap",2294310
"erubi",2278493
"carmen",2274575
"handlebars_assets",2272557
"sass-listen",2266625
"health_check",2262404
"spdx-licenses",2258901
"zookeeper",2249823
"webrat",2245068
"faraday_middleware-multi_json",2243560
"buff-shell_out",2242755
"cocoon",2241086
"pyu-ruby-sasl",2236531
"buff-ruby_engine",2229333
"teaspoon",2221130
"rgeo",2217963
"secure_headers",2212494
"buff-config",2211427
"zip-zip",2211110
"gssapi",2208876
"jquery-fileupload-rails",2200482
"turn",2197888
"code_analyzer",2186168
"metadata-json-lint",2185167
"inflection",2184895
"mock_redis",2182107
"netaddr",2162232
"kaminari-core",2160534
"meta_search",2154881
"interception",2149158
"analytics-ruby",2143901
"activerecord-jdbc-adapter",2134623
"pry-rescue",2134299
"jruby-launcher",2121206
"semverse",2117672
"mandrill-api",2100974
"amqp",2098462
"gibbon",2097181
"dropzonejs-rails",2094198
"thrift",2089061
"devise-async",2088807
"berkshelf",2082843
"d3_rails",2077997
"google-protobuf",2072224
"kaminari-actionview",2068030
"terminal-notifier-guard",2066697
"kaminari-activerecord",2061232
"faraday-cookie_jar",2058188
"guard-spork",2047296
"pr_geohash",2043954
"rubypants",2038407
"rolify",2038222
"signature",2030628
"sidekiq-failures",2018826
"cause",2017066
"strong_parameters",2012384
"god",2005861
"enumerize",2004316
"toml",1997904
"actionpack-action_caching",1993538
"buff-ignore",1988973
"letter_opener_web",1986551
"hashr",1985696
"flowdock",1981005
"linecache",1978150
"logstash-logger",1976995
"omniauth-saml",1965367
"bigdecimal",1958286
"chartkick",1956573
"airbrake-ruby",1954425
"dotenv-deployment",1952155
"jquery-atwho-rails",1945607
"aruba",1943063
"vmstat",1942458
"bootstrap-datepicker-rails",1934609
"sidekiq-limit_fetch",1934161
"google_drive",1931954
"riddle",1931601
"scss-lint",1929166
"devise-encryptable",1920186
"colored2",1919191
"rubyforge",1910436
"gitlab-grit",1902510
"ruby-debug-base",1898292
"neat",1897748
"map",1894034
"growl",1889427
"mongrel",1880893
"rack-livereload",1878789
"syslog-logger",1875937
"rack-pjax",1871684
"bluecloth",1869883
"version_sorter",1869278
"security",1861168
"sunspot",1847343
"github-linguist",1842904
"gem_plugin",1841422
"minitest-chef-handler",1841250
"rqrcode-rails3",1834336
"capistrano-rvm",1834091
"american_date",1832553
"ruby-debug",1827221
"validates_timeliness",1824033
"padrino-helpers",1822971
"winrm",1818842
"tiny_tds",1818830
"gitlab_omniauth-ldap",1806448
"ci_reporter_rspec",1804711
"fastlane_core",1795862
"rollout",1794960
"dm-validations",1792012
"sunspot_rails",1785507
"dm-aggregates",1779909
"whois",1779592
"solve",1774974
"net-http-pipeline",1774491
"declarative-option",1774060
"business_time",1770349
"POpen4",1765820
"rails-controller-testing",1762597
"iconv",1760150
"composite_primary_keys",1759063
"dm-serializer",1757289
"intercom-rails",1757024
"dm-timestamps",1756773
"mixpanel-ruby",1755612
"gollum-lib",1754071
"active_attr",1752001
"fabrication",1748362
"base32",1743718
"jira-ruby",1741875
"dm-types",1739734
"rr",1737517
"squeel",1735103
"creole",1734035
"rails-api",1731722
"intercom",1728735
"devise-two-factor",1728193
"groupdate",1725578
"jsonpath",1725573
"fakeredis",1719815
"hocon",1717574
"puppet-lint-unquoted_string-check",1711566
"lru_redux",1710842
"org-ruby",1706868
"di-ruby-lvm-attrib",1702018
"chromedriver-helper",1701372
"grpc",1700302
"rcov",1698443
"non-stupid-digest-assets",1698376
"jsonapi-renderer",1697740
"ckeditor",1694026
"sax-machine",1691517
"rack-proxy",1686488
"license_finder",1684694
"sysexits",1683993
"acts_as_tree",1680416
"faraday-http-cache",1679956
"wirble",1679403
"capistrano-rbenv",1677504
"hamlit",1677163
"memcachier",1676468
"capistrano-harrow",1670807
"middleman",1670690
"roadie-rails",1668424
"travis",1666584
"skylight",1665636
"hiera-eyaml",1657921
"rails_admin",1656810
"puppet-lint-leading_zero-check",1655999
"librarian-puppet",1655855
"dm-constraints",1651951
"rspec-sidekiq",1648478
"sidekiq-unique-jobs",1648171
"exifr",1647598
"git-version-bump",1646315
"asana",1646032
"main",1641637
"iniparse",1638699
"dragonfly",1635232
"aggregate",1632130
"progressbar",1629389
"jekyll-paginate",1625820
"proxifier",1619707
"maxminddb",1617128
"fast_blank",1616321
"expression_parser",1614897
"librato-metrics",1613806
"holidays",1612774
"high_voltage",1607242
"do_sqlite3",1606012
"ruby-macho",1604938
"wikicloth",1601175
"gettext_i18n_rails",1601103
"zeus",1600575
"gitlab-flowdock-git-hook",1598705
"pg_search",1593952
"file-tail",1591914
"mousetrap-rails",1591385
"email_validator",1588559
"fuzzyurl",1588519
"deep_cloneable",1585968
"gemnasium-gitlab-service",1585852
"js-routes",1584746
"dm-transactions",1583976
"beaker",1583825
"s3",1580792
"gemojione",1580246
"rails_config",1575169
"tinymce-rails",1570444
"audited",1569234
"mail_room",1568519
"color",1563047
"oily_png",1562363
"aws",1561939
"sigdump",1561494
"haml_lint",1561103
"fakes3",1559766
"omniauth-gitlab",1549940
"httmultiparty",1548271
"omniauth-shibboleth",1544811
"mustermann-grape",1538631
"thinking-sphinx",1534824
"sham_rack",1531728
"gollum-grit_adapter",1529853
"dante",1528453
"github_api",1523785
"sort_alphabetical",1519361
"after_commit_queue",1516403
"chosen-rails",1515746
"apipie-rails",1514275
"proxies",1512443
"date_validator",1512187
"image_size",1511755
"url_safe_base64",1511230
"rblineprof",1509437
"spinach",1504429
"bouncy-castle-java",1503674
"jsonapi",1501270
"ruby-fogbugz",1498240
"memcached",1497496
"gh",1497207
"beefcake",1492724
"arrayfields",1489063
"aws-ses",1487616
"newrelic-redis",1487354
"pusher-client",1487044
"redis-objects",1485946
"activerecord-sqlserver-adapter",1484569
"jekyll-gist",1484084
"fluent-logger",1482222
"sprockets-sass",1472708
"susy",1469849
"sshkey",1469644
"akismet",1468855
"RubyInline",1468695
"optionable",1468370
"insist",1463712
"fluentd",1459820
"paperclip_database",1459118
"di-ruby-lvm",1459025
"vagrant",1458373
"gherkin-ruby",1457157
"io-console",1457031
"sunspot_solr",1456274
"timfel-krb5-auth",1453225
"librex",1453188
"resque_mailer",1448117
"grit",1445852
"jekyll-coffeescript",1444842
"omniauth-auth0",1443641
"sidetiq",1441479
"sensu-plugins-disk-checks",1437976
"aws_cf_signer",1435060
"progress",1435012
"pg_array_parser",1432033
"sucker_punch",1429409
"omniauth-multipassword",1428956
"foundation-rails",1424586
"omniauth-azure-oauth2",1422762
"rb-fchange",1422358
"meta-tags",1422100
"prawn-table",1421656
"appraisal",1421385
"tire",1421352
"kubeclient",1420550
"omniauth-kerberos",1420199
"sprockets-es6",1418005
"json-jwt",1416538
"angularjs-rails",1415992
"jenkins_api_client",1414633
"omniauth_crowd",1414540
"railroady",1413300
"spinach-rails",1406370
"rspec-puppet-facts",1403775
"bitly",1402228
"simple-graphite",1402100
"SystemTimer",1397362
"bindex",1396825
"allocations",1395085
"licensee",1393688
"rack_session_access",1392818
"options",1392573
"middleman-core",1391971
"flipper",1391378
"gemoji",1391058
"grape-swagger",1388574
"rack-ssl-enforcer",1388328
"progress_bar",1386970
"omniauth-cas3",1383338
"abstract_type",1381340
"sigar",1381011
"ruby-shadow",1376811
"gollum-rugged_adapter",1374896
"guard-minitest",1372051
"globalize",1364689
"validates_email_format_of",1362785
"guard-rubocop",1361778
"marginalia",1360505
"tool",1358520
"adamantium",1357078
"syslog_protocol",1356975
"user_agent_parser",1355390
"axlsx_rails",1348346
"oj_mimic_json",1345740
"http_connection",1345075
"archive-zip",1341563
"facets",1340980
"mixlib-versioning",1339544
"config",1339293
"jquery-datatables-rails",1337800
"pleaserun",1337621
"pry-debugger",1336824
"net-dns",1333632
"cloudinary",1332026
"barby",1329769
"watir",1328941
"jdbc-mysql",1328269
"easy_translate",1326463
"spring-commands-spinach",1325274
"berkshelf-api-client",1325197
"dnsruby",1324897
"snapshot",1324885
"bower-rails",1321100
"will_paginate-bootstrap",1320051
"forgery",1320000
"puppet-lint-absolute_classname-check",1312249
"http_router",1303856
"jasmine-rails",1299678
"spaceship",1299502
"configatron",1299001
"xcpretty-travis-formatter",1296632
"pathutil",1291632
"dbf",1291070
"i18n-tasks",1290767
"securecompare",1290409
"phony_rails",1289885
"credentials_manager",1288046
"forwardable-extended",1287591
"gooddata",1286619
"audited-activerecord",1282561
"beaker-rspec",1278078
"contracts",1277238
"em-synchrony",1275371
"cane",1274220
"jgrep",1269972
"rjb",1266744
"fakefs",1266377
"site_prism",1262451
"jekyll-sitemap",1262407
"capistrano-sidekiq",1261769
"em-resolv-replace",1260640
"data_mapper",1260144
"diplomat",1259880
"iso8601",1259714
"andand",1259524
"bootstrap-will_paginate",1258157
"librarian",1255928
"test-kitchen",1255607
"memory_profiler",1255306
"padrino-support",1254676
"em-hiredis",1253588
"zip",1251914
"bourne",1248904
"u2f",1247087
"pagerduty",1246862
"sendgrid",1243102
"middleware",1242348
"facterdb",1242184
"flamegraph",1238438
"fb_graph",1237206
"postgres_ext",1236808
"webpack-rails",1235479
"case_transform",1233440
"dm-sqlite-adapter",1232638
"paint",1225765
"mercurial-ruby",1221097
"spinach-rerun-reporter",1217914
"shotgun",1214306
"configuration",1213671
"ox",1211966
"windows-pr",1209329
"toadhopper",1208891
"resque-status",1208777
"closure-compiler",1204275
"ezcrypto",1203412
"devise-i18n",1202438
"angular-rails-templates",1199664
"cleanroom",1196434
"hooks",1194795
"teaspoon-jasmine",1194167
"rubocop-checkstyle_formatter",1193166
"truncato",1192327
"path_expander",1191619
"cool.io",1191219
"cascading.jruby",1190849
"roar",1190692
"unparser",1189264
"sprockets-helpers",1189199
"cgi_multipart_eof_fix",1188612
"tty-screen",1188587
"deface",1184933
"do_postgres",1184364
"tinder",1181895
"girl_friday",1180981
"word_wrap",1180440
"concord",1178558
"rendezvous",1177073
"ipa_analyzer",1175891
"eco-source",1175170
"procto",1174875
"twitter-stream",1172715
"pusher-signature",1167358
"sensu-plugins-memory-checks",1166736
"deckar01-task_list",1166333
"rbx-require-relative",1166297
"gitlab-markup",1166197
"et-orbi",1164047
"rack-utf8_sanitizer",1163126
"eco",1161351
"simple-random",1158615
"zk",1156750
"cf-uaa-lib",1154371
"hoptoad_notifier",1154191
"bootstrap3-datetimepicker-rails",1153378
"resque_spec",1151908
